order_id,review_score,review_comment_message,delivery_delay_days,sentiment_result,sentiment,theme
bf488c4d02bcdb68c278b42d9417f05d,1.0,"Bom quero devolver o produto já solicitei duas devolução porém não me deram retorno até agora, estou indignado com isso ",-10.0,"[{'label': '1 star', 'score': 0.5924214720726013}]",Negative,other
589aa9dfe350a2ca1ac9e8d38d4f7937,5.0,"Excelente produto.
",-11.0,"[{'label': '5 stars', 'score': 0.8019437789916992}]",Positive,good experience
883b467852944646af1b7eff7c0f5d35,5.0,"Excelente produto com a entrega realizada de forma muito rápida, recomendo.",-8.0,"[{'label': '5 stars', 'score': 0.7972612380981445}]",Positive,good experience
d30c22b84ba5239f2ae0fc078be7611c,5.0,"boa noite !
até o exato momento não recebi o meu produto
que comprei.
gostaria de obter uma imformação sobre o motivo
do atrazo",8.0,"[{'label': '3 stars', 'score': 0.34224212169647217}]",Neutral,other
54d6ae8b557cebe3a01965a54c4e4106,5.0,Adoreiii os capachos! super lindos <3 A entrega foi feita quase 10 dias antes do prazo <3,-23.0,"[{'label': '5 stars', 'score': 0.7108606696128845}]",Positive,good experience
e6b366b1ca31e3d1a57113196398f8dd,5.0,"Produto era o que esperava, entrega rápida, antes do prazo, estão de parabéns.",-9.0,"[{'label': '4 stars', 'score': 0.37661466002464294}]",Positive,other
bfd78b312cc39789d717553c3e611abf,3.0,O produto nao tem boa qualidade.,-8.0,"[{'label': '2 stars', 'score': 0.5352423191070557}]",Negative,product quality
aa1a6dd9036736db780b2cd007f68a52,2.0,"O relógio que eu comprei da marca Oakley é falso, estou no aguardo de uma solução para meu problema que me agrade.",-5.0,"[{'label': '1 star', 'score': 0.3504425287246704}]",Negative,other
4201a8366a21b43a6b9c2c912a2dd5f4,1.0,Produto veio com amassados e também não está funcionando corretamente.,-6.0,"[{'label': '1 star', 'score': 0.6700493097305298}]",Negative,packaging damage
69cfe2f137c308ad6f6d0896ad8189d2,5.0,Loja confiável !,-13.0,"[{'label': '5 stars', 'score': 0.5726428627967834}]",Positive,other
bb8b33cf13619f7da613f72bb3bbc849,2.0,"Foi comprado duas unidades do produto e foi entregue apenas uma. Desejaria saber se o vendedor enviará a segunda compra. Um abraço,",-18.0,"[{'label': '1 star', 'score': 0.768734872341156}]",Negative,other
96a2b5167187b3cfde60cd245d421132,4.0,Superrecomendo. Ótimo atendimento e bons produtos.,-22.0,"[{'label': '5 stars', 'score': 0.7969939112663269}]",Positive,good experience
99a18b057d4dd4778d6f3a33ba498777,5.0,muito bom,-2.0,"[{'label': '5 stars', 'score': 0.6459388136863708}]",Positive,other
5de49d2694e14cb7d84e7131475e63b1,5.0,Mto bom!,-20.0,"[{'label': '5 stars', 'score': 0.2669719159603119}]",Positive,other
660c604f50fc9edcf854689682d1560e,4.0,O produto chegou bem antes da data prevista! Fiquei mt satisfeita!,-35.0,"[{'label': '4 stars', 'score': 0.4479934871196747}]",Positive,other
ddb33b0aa1ca6227208f0ca0564f0696,2.0,"Não gostei desta loja, a kit colcha não veio o Coração de almofada e ainda de cor diferente da foto, veio beje ao inves de branca. Péssima qualidade tb, é um lençol com babado!!! E a cadeira balança!!",-17.0,"[{'label': '1 star', 'score': 0.8306970596313477}]",Negative,product quality
42006f4285a74fe6aeef976170d01e60,1.0,A loja vende um produto muito caro mas a qualidade é péssima ,-2.0,"[{'label': '1 star', 'score': 0.5009706616401672}]",Negative,product quality
2c6972a5750129c81b91e55b38b06823,1.0,ATÉ O MOMENTO NÃO RECEBI O PRODUTO COMPRADO.XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,29.0,"[{'label': '1 star', 'score': 0.6153174638748169}]",Negative,other
d3934d1785c21c97391c71a234a5a3ca,5.0,"Entrega feita bem antes do prazo, muito bom! 
",-16.0,"[{'label': '5 stars', 'score': 0.46795541048049927}]",Positive,other
ed18204b2bef82c1eeb3f13852c9dbdf,4.0,Gostei muito de comprar!,-3.0,"[{'label': '5 stars', 'score': 0.6683775782585144}]",Positive,good experience
